Freq,CATEGORY,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP
4110,species,House Sparrow,Passer domesticus,Passeriformes,Passeridae (Old World Sparrows),Old World Sparrows
4084,species,American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies),Thrushes
3811,species,European Starling,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas
3065,species,Northern Cardinal,Cardinalis cardinalis,Passeriformes,Cardinalidae (Cardinals and Allies),"Cardinals, Grosbeaks, and Allies"
3045,species,Blue Jay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens"
2676,species,White-throated Sparrow,Zonotrichia albicollis,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
2581,species,Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies),Blackbirds
2237,species,Gray Catbird,Dumetella carolinensis,Passeriformes,Mimidae (Mockingbirds and Thrashers),"Catbirds, Mockingbirds, and Thrashers"
2036,species,Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1869,species,Common Yellowthroat,Geothlypis trichas,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1809,species,Red-winged Blackbird,Agelaius phoeniceus,Passeriformes,Icteridae (Troupials and Allies),Blackbirds
1704,species,Northern Parula,Setophaga americana,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1699,species,Ovenbird,Seiurus aurocapilla,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1670,species,American Redstart,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1648,species,Hermit Thrush,Catharus guttatus,Passeriformes,Turdidae (Thrushes and Allies),Thrushes
1497,species,Magnolia Warbler,Setophaga magnolia,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1372,species,Ruby-crowned Kinglet,Corthylio calendula,Passeriformes,Regulidae (Kinglets),Kinglets
1368,species,Baltimore Oriole,Icterus galbula,Passeriformes,Icteridae (Troupials and Allies),Blackbirds
1350,species,Yellow-rumped Warbler,Setophaga coronata,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1314,species,Song Sparrow,Melospiza melodia,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
1301,species,Black-throated Blue Warbler,Setophaga caerulescens,Passeriformes,Parulidae (New World Warblers),Wood-Warblers
1141,species,Swamp Sparrow,Melospiza georgiana,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows
